       0Popstan
01     1Artesia                                           
0101   2Dongo                                             
01010133Locality 13
01010183Locality 18
01010273Locality 27
01010303Locality 30
01010383Locality 38
01010583Locality 58
01010613Locality 61
01010623Locality 62
01010663Locality 66
01010733Locality 73
01010753Locality 75
01010773Locality 77
01010853Locality 85
01010883Locality 88
01010963Locality 96
01011033Locality 103
01011073Locality 107
01011263Locality 126
01011463Locality 146
01011503Locality 150
01011563Locality 156
01011623Locality 162
01011713Locality 171
01011813Locality 181
0102   2Idfu                                              
01020143Locality 14
01020163Locality 16
01020283Locality 28
01020363Locality 36
01020383Locality 38
01020413Locality 41
01020493Locality 49
01020543Locality 54
01020593Locality 59
01020603Locality 60
01020623Locality 62
01020643Locality 64
01020713Locality 71
01020733Locality 73
01020753Locality 75
01020833Locality 83
01020933Locality 93
01020943Locality 94
01021053Locality 105
01021163Locality 116
01021243Locality 124
01021253Locality 125
01021283Locality 128
01021343Locality 134
01021383Locality 138
01021483Locality 148
01021543Locality 154
01021603Locality 160
01021693Locality 169
01021793Locality 179
01022653Locality 265
0103   2Jummu                                             
01030153Locality 15
01030293Locality 29
01030343Locality 34
01030373Locality 37
01030513Locality 51
01030603Locality 60
01030643Locality 64
01030683Locality 68
01030703Locality 70
01030753Locality 75
01030893Locality 89
01030903Locality 90
01030943Locality 94
01031053Locality 105
01031243Locality 124
01031283Locality 128
01031483Locality 148
01031523Locality 152
01031583Locality 158
01031673Locality 167
01031983Locality 198
01032563Locality 256
01032613Locality 261
0104   2Kars                                              
01040113Locality 11
01040513Locality 51
01040723Locality 72
01041123Locality 112
0105   2Kuma                                              
01050163Locality 16
01050303Locality 30
01050323Locality 32
01050353Locality 35
01050383Locality 38
01050523Locality 52
01050563Locality 56
01050693Locality 69
01050713Locality 71
01050763Locality 76
01050903Locality 90
01050913Locality 91
01051063Locality 106
01051253Locality 125
01051493Locality 149
01051593Locality 159
01051683Locality 168
01051993Locality 199
01052623Locality 262
0106   2Lanti                                             
01060153Locality 15
01060173Locality 17
01060263Locality 26
01060293Locality 29
01060373Locality 37
01060463Locality 46
01060573Locality 57
01060603Locality 60
01060613Locality 61
01060633Locality 63
01060653Locality 65
01060723Locality 72
01060743Locality 74
01060763Locality 76
01060843Locality 84
01060873Locality 87
01060943Locality 94
01060953Locality 95
01061063Locality 106
01061223Locality 122
01061253Locality 125
01061263Locality 126
01061353Locality 135
01061493Locality 149
01061553Locality 155
01061613Locality 161
01061703Locality 170
01061803Locality 180
0107   2Lima                                              
01070123Locality 12
01070143Locality 14
01070333Locality 33
01070343Locality 34
01070353Locality 35
01070363Locality 36
01070393Locality 39
01070473Locality 47
01070503Locality 50
01070523Locality 52
01070553Locality 55
01070573Locality 57
01070583Locality 58
01070603Locality 60
01070613Locality 61
01070653Locality 65
01070713Locality 71
01070733Locality 73
01070863Locality 86
01070903Locality 90
01070913Locality 91
01070923Locality 92
01071033Locality 103
01071143Locality 114
01071233Locality 123
01071263Locality 126
01071293Locality 129
01071363Locality 136
01071453Locality 145
01071463Locality 146
01071583Locality 158
01071603Locality 160
01071643Locality 164
01071673Locality 167
01071713Locality 171
01072643Locality 264
0108   2Lindos                                            
01080133Locality 13
01080173Locality 17
01080313Locality 31
01080363Locality 36
01080533Locality 53
01080573Locality 57
01080723Locality 72
01080913Locality 91
01080923Locality 92
01081073Locality 107
01081503Locality 150
01081693Locality 169
01082003Locality 200
01082573Locality 257
01082633Locality 263
0109   2Mili                                              
01090103Locality 10
01090503Locality 50
01090513Locality 51
01090593Locality 59
01091123Locality 112
01091663Locality 166
01092023Locality 202
0110   2Paki                                              
01100143Locality 14
01100283Locality 28
01100313Locality 31
01100333Locality 33
01100363Locality 36
01100503Locality 50
01100593Locality 59
01100623Locality 62
01100633Locality 63
01100673Locality 67
01100693Locality 69
01100743Locality 74
01100763Locality 76
01100883Locality 88
01100893Locality 89
01101043Locality 104
01101083Locality 108
01101233Locality 123
01101273Locality 127
01101473Locality 147
01101513Locality 151
01101573Locality 157
01101633Locality 163
01101823Locality 182
01102553Locality 255
0111   2Salima                                            
01110383Locality 38
01110493Locality 49
01110503Locality 50
01110583Locality 58
01110743Locality 74
01110913Locality 91
01111113Locality 111
01111223Locality 122
01112013Locality 201
01112593Locality 259
0112   2Shuma                                             
01120133Locality 13
01120153Locality 15
01120273Locality 27
01120293Locality 29
01120343Locality 34
01120353Locality 35
01120373Locality 37
01120403Locality 40
01120483Locality 48
01120513Locality 51
01120533Locality 53
01120583Locality 58
01120593Locality 59
01120613Locality 61
01120623Locality 62
01120723Locality 72
01120743Locality 74
01120873Locality 87
01120893Locality 89
01120923Locality 92
01120933Locality 93
01121043Locality 104
01121153Locality 115
01121233Locality 123
01121243Locality 124
01121273Locality 127
01121333Locality 133
01121373Locality 137
01121473Locality 147
01121593Locality 159
01121613Locality 161
01121683Locality 168
01121723Locality 172
01121783Locality 178
0113   2Varda                                             
01130183Locality 18
01130353Locality 35
01130483Locality 48
01130493Locality 49
01130543Locality 54
01130733Locality 73
01130923Locality 92
01131083Locality 108
01131213Locality 121
01131703Locality 170
01132583Locality 258
02     1Copal                                             
0201   2Baja                                              
02010033Locality 3
02010073Locality 7
02010203Locality 20
02010243Locality 24
02010273Locality 27
02010353Locality 35
02010413Locality 41
02010423Locality 42
02010443Locality 44
02010573Locality 57
02010583Locality 58
02010643Locality 64
02010653Locality 65
02010663Locality 66
02010683Locality 68
02010693Locality 69
02010743Locality 74
02010803Locality 80
02010813Locality 81
02010843Locality 84
02010973Locality 97
02011003Locality 100
02011163Locality 116
02011323Locality 132
02011393Locality 139
02011583Locality 158
02011613Locality 161
02011703Locality 170
02011723Locality 172
02011833Locality 183
02012633Locality 263
02012663Locality 266
0202   2Bassac                                            
02020013Locality 1
02020043Locality 4
02020223Locality 22
02020243Locality 24
02020293Locality 29
02020323Locality 32
02020403Locality 40
02020463Locality 46
02020483Locality 48
02020523Locality 52
02020543Locality 54
02020583Locality 58
02020613Locality 61
02020633Locality 63
02020653Locality 65
02020663Locality 66
02020713Locality 71
02020723Locality 72
02020733Locality 73
02020773Locality 77
02020783Locality 78
02020813Locality 81
02020863Locality 86
02020913Locality 91
02020943Locality 94
02020963Locality 96
02020973Locality 97
02021073Locality 107
02021133Locality 113
02021293Locality 129
02021443Locality 144
02021553Locality 155
02021613Locality 161
02021663Locality 166
02021673Locality 167
02021693Locality 169
02021803Locality 180
02021903Locality 190
02022603Locality 260
02022763Locality 276
0203   2Chile                                             
02030073Locality 7
02030363Locality 36
02030453Locality 45
02030623Locality 62
02030633Locality 63
02030733Locality 73
02030813Locality 81
02030863Locality 86
02031003Locality 100
02031023Locality 102
02031123Locality 112
02031193Locality 119
02031633Locality 163
02031743Locality 174
02031753Locality 175
02031853Locality 185
02032043Locality 204
02032673Locality 267
02032713Locality 271
0204   2Dovo                                              
02040063Locality 6
02040243Locality 24
02040353Locality 35
02040383Locality 38
02040443Locality 44
02040613Locality 61
02040623Locality 62
02040723Locality 72
02040803Locality 80
02040853Locality 85
02040993Locality 99
02041013Locality 101
02041113Locality 111
02041183Locality 118
02041623Locality 162
02041733Locality 173
02041743Locality 174
02041843Locality 184
02042033Locality 203
02042703Locality 270
0205   2Flodina                                           
02050043Locality 4
02050083Locality 8
02050213Locality 21
02050283Locality 28
02050323Locality 32
02050363Locality 36
02050433Locality 43
02050453Locality 45
02050583Locality 58
02050593Locality 59
02050663Locality 66
02050673Locality 67
02050693Locality 69
02050703Locality 70
02050753Locality 75
02050773Locality 77
02050823Locality 82
02050853Locality 85
02050983Locality 98
02051013Locality 101
02051173Locality 117
02051333Locality 133
02051593Locality 159
02051623Locality 162
02051713Locality 171
02051733Locality 173
02052643Locality 264
02052673Locality 267
